Popularity ,Breed,Group,Size,Price Bracket,Price low,Price high,Lifetime Cost,Lifespan,Genetic Ailments,Grooming Score,Intelligence Category,Trainability,Training Repetitions,Odedience,Children Score
59,Cairn Terrier,terrier,small,budget,300,600,"21,992",13.84,2,2,Above average,35,15 to 25,70,1
168,Canaan Dog,herding,medium,,,,,14.67,0,2,,,,,1
67,Cane Corso,working,large,mid-price,900,1500,,,,-,,,,,-
81,Cardigan Welsh Corgi,herding,small,mid-price,395,1085,,12.7,0,-,Excellent,26,5 to 15,85,-
21,Cavalier King Charles Spaniel,toy,small,mid-price,100,1800,"18,639",11.29,2,2,Average,44,25 to 40,50,1
106,Cesky Terrier,terrier,small,,,,,8.42,,2,,,,,1
46,Chesapeake Bay Retriever,sporting,large,budget,175,795,"16,697",9.48,1,2,Above average,27,15 to 25,70,1
14,Chihuahua,toy,small,budget,200,1500,"26,250",16.5,1,2,Fair,67,40 to 80,30,3
61,Chinese Crested,toy,small,budget,125,1300,,10.08,,-,Fair,61,40 to 80,30,-
50,Chinese Shar Pei,non-sporting,medium,mid-price,350,2000,,,4,-,Average,51,25 to 40,50,-
68,Chow Chow,non-sporting,medium,budget,200,750,"15,898",9.01,2,1,Lowest,77,80 to 100,<25,2
133,Clumber Spaniel,sporting,medium,mid-price,800,1500,"18,084",10,0,2,Above average,37,15 to 25,70,1
27,Cocker Spaniel,sporting,small,budget,250,800,"24,330",12.5,2,2,Excellent,20,5 to 15,85,1
36,Collie,herding,large,budget,350,950,,,2,-,Excellent,16,5 to 15,85,-
154,Curly Coated Retriever,sporting,large,,,,,10.75,0,2,Average,41,25 to 40,50,2
9,Dachshund,hound,small,budget,125,750,"20,113",12.63,2,2,Average,49,25 to 40,50,3
